Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
775,Civitas Resources,CIVI,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,,,,n/a,no,no,353,5482,3791,307.4,1248,597.6,7971,M. Christopher Doyle,U.S.,Denver,CO,www.civitasresources.com,Public,"Market value as of March 31, 2023.",5482,6/5/2023
776,Tutor Perini,TPC,Engineering & Construction,Engineering & Construction,no,no,no,yes,-138,no,yes,n/a,no,no,8100,318,3791,-18.3,-210,-328.5,4543,Ronald N. Tutor,U.S.,Sylmar,CA,www.tutorperini.com,Public,"Market value as of March 31, 2023.",318,6/5/2023
777,Lincoln Electric Holdings,LECO,Industrials,Industrial Machinery,yes,no,no,yes,16,yes,no,n/a,no,no,12000,9740,3761,16.3,472,70.8,3181,Christopher L. Mapes,U.S.,Cleveland,OH,www.lincolnelectric.com,Public,"Market value as of March 31, 2023.",9740,6/5/2023
778,Wynn Resorts,WYNN,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",no,no,no,yes,-59,no,yes,n/a,no,no,27000,12722,3757,-0.2,-424,,13415,Craig S. Billings,U.S.,Las Vegas,NV,www.wynnresorts.com,Public,"Market value as of March 31, 2023.",12722,6/5/2023
779,Visteon,VC,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,105,yes,no,n/a,no,no,10000,4421,3756,35.4,124,202.4,2450,Sachin S. Lawande,U.S.,Van Buren Township,MI,www.visteon.com,Public,"Market value as of March 31, 2023.",4421,6/5/2023
780,A.O. Smith,AOS,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-34,no,yes,n/a,no,no,12000,10436,3754,6.1,236,-51.6,3332,Kevin J. Wheeler,U.S.,Milwaukee,WI,www.aosmith.com,Public,"Market value as of March 31, 2023.",10436,6/5/2023
781,H.B. Fuller,FUL,Chemicals,Chemicals,yes,no,yes,yes,6,yes,no,n/a,no,no,7000,3685,3749,14.4,180,11.7,4464,Celeste B. Mastin,U.S.,St. Paul,MN,www.hbfuller.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of March 31, 2023.",3685,6/5/2023
782,TransUnion,TRU,Business Services,Financial Data Services,yes,no,no,yes,27,yes,no,n/a,no,no,12200,12003,3747,19.1,270,-80.6,11666,Christopher A. Cartwright,U.S.,Chicago,IL,www.transunion.com,Public,"Includes revenues from discontinued operations. Market value as of March 31, 2023.",12003,6/5/2023
783,Ares Management,ARES,Financials,Securities,yes,yes,no,yes,-156,no,yes,n/a,no,no,2550,24760,3743,-21.5,168,-59,22003,Michael J. Arougheti,U.S.,Los Angeles,CA,www.aresmgmt.com,Public,"Market value as of March 31, 2023.",24760,6/5/2023
784,Hawaiian Electric Industries,HE,Energy,Utilities: Gas and Electric,yes,no,no,yes,79,yes,no,n/a,no,no,3698,4208,3742,31.3,241,-2,16284,Scott W.H. Seu,U.S.,Honolulu,HI,www.hei.com,Public,"Market value as of March 31, 2023.",4208,6/5/2023
785,Comerica,CMA,Financials,Commercial Banks,yes,no,no,yes,40,yes,no,n/a,no,no,7488,5710,3740,23.7,1151,-1.5,85406,Curtis C. Farmer,U.S.,Dallas,TX,www.comerica.com,Public,"Market value as of March 31, 2023.",5710,6/5/2023
786,Align Technology,ALGN,Health Care,Medical Products and Equipment,yes,no,no,yes,-87,no,yes,n/a,no,no,23165,25641,3735,-5.5,362,-53.2,5948,Joseph M. Hogan,U.S.,Tempe,AZ,www.aligntech.com,Public,"Market value as of March 31, 2023.",25641,6/5/2023
787,Arch Resources,ARCH,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,193,yes,no,n/a,no,no,3404,2463,3725,68.7,1331,294.3,2433,Paul A. Lang,U.S.,St. Louis,MO,www.archrsc.com,Public,"Market value as of March 31, 2023.",2463,6/5/2023
788,Signature Bank,SBNY,Financials,Commercial Banks,yes,no,no,yes,168,yes,no,n/a,no,no,2243,12,3711,60.6,1337,45.6,110364,Joseph J. DePaolo,U.S.,New York,NY,www.signatureny.com,Public,"Federal Deposit Insurance Corporation was appointed as receiver of the company, March 12, 2023. Flagstar Bank, subsidiary of New York Community Bancorp acquired loans, deposits, and all branches, which now operated under the Flagstar name, March 20, 2023. Market value as of March 31, 2023.",12,6/5/2023
789,Abercrombie & Fitch,ANF,Retailing,Specialty Retailers: Apparel,yes,no,yes,no,-64,no,yes,n/a,no,no,18400,1366,3698,-0.4,3,-98.9,2713,Fran Horowitz,U.S.,New Albany,OH,www.abercrombie.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",1366,6/5/2023
790,MSC Industrial Direct,MSM,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,,,,n/a,no,no,6880,4702,3692,13.8,340,56.7,2729,Erik Gershwind,U.S.,Melville,NY,www.mscdirect.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of March 31, 2023.",4702,6/5/2023
791,Trimble,TRMB,Technology,"Electronics, Electrical Equip.",yes,no,no,no,-57,no,yes,n/a,no,no,11825,12945,3676,0.5,450,-8.7,7269,Robert G. Painter,U.S.,Westminster,CO,www.trimble.com,Public,"Market value as of March 31, 2023.",12945,6/5/2023
792,Gray Television,GTN,Media,Entertainment,yes,no,no,yes,143,yes,no,n/a,no,no,9168,809,3676,52.3,455,405.6,11152,Patrick D. LaPlatney/Hilton H. Howell Jr.,U.S.,Atlanta,GA,www.gray.tv,Public,"Market value as of March 31, 2023.",809,6/5/2023
793,Green Plains,GPRE,Energy,Energy,no,no,no,yes,77,yes,no,n/a,no,no,902,1844,3663,29.6,-127,,2123,Todd A. Becker,U.S.,Omaha,NE,www.gpreinc.com,Public,"Market value as of March 31, 2023.",1844,6/5/2023
794,Chord Energy,CHRD,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,,,,n/a,no,no,531,5604,3657,114.6,1856,480.8,6631,Daniel E. Brown,U.S.,Houston,TX,www.chordenergy.com,Public,"Includes revenues from discontinued operations. Acquired Whiting Petroleum and changed name from Oasis Petroleum, July 1, 2022. Market value as of March 31, 2023.",5604,6/5/2023
795,Splunk,SPLK,Technology,Computer Software,no,no,no,yes,105,yes,no,n/a,no,no,8000,15868,3654,36.7,-278,,6344,Gary Steele,U.S.,San Francisco,CA,www.splunk.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",15868,6/5/2023
796,Mercury General,MCY,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-103,no,yes,n/a,no,no,4300,1758,3643,-8.8,-513,-306.8,6514,Gabriel Tirador,U.S.,Los Angeles,CA,www.mercuryinsurance.com,Public,"Market value as of March 31, 2023.",1758,6/5/2023
797,Ciena,CIEN,Technology,Network and Other Communications Equipment,yes,no,no,yes,-59,no,yes,n/a,no,no,7998,7834,3633,0.3,153,-69.4,5070,Gary B. Smith,U.S.,Hanover,MD,www.ciena.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",7834,6/5/2023
798,Comstock Resources,CRK,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,,,,n/a,no,no,244,2994,3628,96,1141,,5694,M. Jay Allison,U.S.,Frisco,TX,www.comstockresources.com,Public,"Market value as of March 31, 2023.",2994,6/5/2023
799,Akamai Technologies,AKAM,Technology,Internet Services and Retailing,yes,yes,no,yes,-41,no,yes,n/a,no,no,9811,12239,3617,4.5,524,-19.6,8303,F. Thomson Leighton,U.S.,Cambridge,MA,www.akamai.com,Public,"Market value as of March 31, 2023.",12239,6/5/2023
800,Flowserve,FLS,Industrials,Industrial Machinery,yes,no,no,no,-56,no,yes,n/a,no,no,16000,4458,3615,2.1,189,49.8,4791,R. Scott Rowe,U.S.,Irving,TX,www.flowserve.com,Public,"Market value as of March 31, 2023.",4458,6/5/2023
801,Garrett Motion,GTX,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,yes,-65,no,yes,n/a,no,no,8300,497,3603,-0.8,390,,2637,Olivier Rabiller,U.S.,Plymouth,MI,www.garrettmotion.com,Public,"Incorporated in the U.S. and headquartered in Switzerland. Its North American headquarters are in Plymouth, Mich. Net income and earnings per share percent change not available due to emergence from bankruptcy, April 30, 2021. Market value as of March 31, 2023.",497,6/5/2023
802,RH,RH,Retailing,Specialty Retailers: Other,yes,no,no,no,-82,no,yes,n/a,no,no,5820,5369,3591,-4.5,529,-23.2,5309,Gary G. Friedman,U.S.,Corte Madera,CA,www.rh.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",5369,6/5/2023
803,Peloton Interactive,PTON,"Hotels, Restaurants & Leisure","Toys, Sporting Goods",no,no,no,no,-114,no,yes,n/a,no,no,6122,3924,3582,-10.9,-2828,,4029,Barry W. McCarthy,U.S.,New York,NY,www.onepeloton.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",3924,6/5/2023
804,ResMed,RMD,Health Care,Medical Products and Equipment,yes,no,no,yes,-2,no,yes,n/a,no,no,8160,32172,3578,11.9,779,64.3,5096,Michael J. Farrell,U.S.,San Diego,CA,www.resmed.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",32172,6/5/2023
805,Grocery Outlet Holding,GO,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,11,yes,no,n/a,no,no,917,2761,3578,16.2,65,4.4,2772,Robert J. Sheedy Jr.,U.S.,Emeryville,CA,www.groceryoutlet.com,Public,"Market value as of March 31, 2023.",2761,6/5/2023
806,CNO Financial Group,CNO,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-124,no,yes,n/a,no,no,3400,2548,3577,-13.2,397,-10,33339,Gary C. Bhojwani,U.S.,Carmel,IN,www.cnoinc.com,Public,"Market value as of March 31, 2023.",2548,6/5/2023
807,Brown & Brown,BRO,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,15,yes,no,n/a,no,no,15201,16290,3573,17.1,672,14.4,13974,J. Powell Brown,U.S.,Daytona Beach,FL,www.bbinsurance.com,Public,"Market value as of March 31, 2023.",16290,6/5/2023
808,Travel + Leisure,TNL,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,2,yes,no,n/a,no,no,18200,3040,3567,13.8,357,15.9,6757,Michael D. Brown,U.S.,Orlando,FL,www.travelandleisureco.com,Public,"Market value as of March 31, 2023.",3040,6/5/2023
809,Cadence Design Systems,CDNS,Technology,Computer Software,yes,no,no,yes,25,yes,no,n/a,no,yes,10228,57398,3562,19.2,849,22,5137,Anirudh Devgan,U.S.,San Jose,CA,www.cadence.com,Public,"Market value as of March 31, 2023.",57398,6/5/2023
810,Selective Insurance Group,SIGI,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-41,no,yes,n/a,no,no,2520,5767,3558,5.3,225,-44.3,10802,John J. Marchioni,U.S.,Branchville,NJ,www.selective.com,Public,"Market value as of March 31, 2023.",5767,6/5/2023
811,Boyd Gaming,BYD,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,-40,no,yes,n/a,no,no,15771,6533,3555,5.5,639,37.8,6311,Keith E. Smith,U.S.,Las Vegas,NV,www.boydgaming.com,Public,"Market value as of March 31, 2023.",6533,6/5/2023
812,Crocs,CROX,Apparel,Apparel,yes,no,no,yes,142,yes,no,n/a,no,no,6680,7808,3555,53.7,540,-25.6,4502,Andrew Rees,U.S.,Broomfield,CO,www.crocs.com,Public,"Market value as of March 31, 2023.",7808,6/5/2023
813,Hyster-Yale Materials Handling,HY,Industrials,Industrial Machinery,no,no,no,yes,5,yes,no,n/a,no,no,8200,856,3548,15.4,-74,,2026,Rajiv K. Prasad,U.S.,Cleveland,OH,www.hyster-yale.com,Public,"Market value as of March 31, 2023.",856,6/5/2023
814,MKS Instruments,MKSI,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,29,yes,no,n/a,no,no,10675,5908,3547,20.3,333,-39.6,11495,John T.C. Lee,U.S.,Andover,MA,www.mks.com,Public,"Market value as of March 31, 2023.",5908,6/5/2023
815,Pitney Bowes,PBI,Technology,"Computers, Office Equipment",yes,no,no,no,-86,no,yes,n/a,no,no,11000,682,3538,-3.7,37,,4741,Marc B. Lautenbach,U.S.,Stamford,CT,www.pitneybowes.com,Public,"Market value as of March 31, 2023.",682,6/5/2023
816,PDC Energy,PDCE,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,,,,n/a,no,no,616,5673,3534,109,1778,240.4,7983,Barton R. Brookman,U.S.,Denver,CO,www.pdce.com,Public,"Excise taxes have been deducted. Market value as of March 31, 2023.",5673,6/5/2023
817,ScanSource,SCSC,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,yes,no,yes,-44,no,yes,n/a,no,no,2700,772,3530,4.9,89,722.6,1937,Michael L. Baur,U.S.,Greenville,SC,www.scansource.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",772,6/5/2023
818,Take-Two Interactive Software,TTWO,Media,Entertainment,yes,no,no,yes,-48,no,yes,n/a,no,no,7799,20123,3505,3.9,418,-29,6546,Strauss H. Zelnick,U.S.,New York,NY,www.take2games.com,Public,"Acquired Zynga (2021 rank: 874), May 23, 2022. Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",20123,6/5/2023
819,Tetra Tech,TTEK,Engineering & Construction,Engineering & Construction,yes,no,no,no,-20,no,yes,n/a,no,no,21000,7820,3504,9,263,13,2623,Dan L. Batrack,U.S.,Pasadena,CA,www.tetratech.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",7820,6/5/2023
820,Copart,CPRT,Retailing,"Automotive Retailing, Services",yes,no,no,yes,78,yes,no,n/a,no,no,9500,35845,3501,30,1090,16.4,5309,A. Jayson Adair/Jeffrey Liaw,U.S.,Dallas,TX,www.copart.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",35845,6/5/2023
821,First Horizon,FHN,Financials,Commercial Banks,yes,no,no,no,-27,no,yes,n/a,no,no,7397,9554,3498,8.2,900,-9.9,78953,D. Bryan Jordan,U.S.,Memphis,TN,www.firsthorizon.com,Public,"Market value as of March 31, 2023.",9554,6/5/2023
822,Vishay Intertechnology,VSH,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-31,no,yes,n/a,no,no,23900,3169,3497,7.9,429,43.9,3866,Joel Smejkal,U.S.,Malvern,PA,www.vishay.com,Public,"Market value as of March 31, 2023.",3169,6/5/2023
823,Medical Mutual of Ohio,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-75,no,yes,n/a,no,no,2945,,3493,-0.6,32,-58.7,2587,Steven C. Glass,U.S.,Cleveland,OH,www.medmutual.com,Private,"Market value as of March 31, 2021.",,6/5/2023
824,Schnitzer Steel Industries,SCHN,Materials,Metals,yes,no,yes,yes,66,yes,no,n/a,no,no,3471,851,3486,26.4,169,2.2,1827,Tamara L. Lundgren,U.S.,Portland,OR,www.schnitzersteel.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of March 31, 2023.",851,6/5/2023
825,Change Healthcare,,Health Care,Health Care: Pharmacy and Other Services,no,no,no,no,-10,no,yes,n/a,no,no,14000,,3481,12.6,-57,,9933,Neil E. de Crescenzo,U.S.,Nashville,TN,www.changehealthcare.com,Private,"Acquired by UnitedHealth Group (2022 rank: 5), Oct. 3, 2022. Figures are for fiscal year ended March 31, 2022.",6799,6/5/2023
826,Clover Health Investments,CLOV,Health Care,Health Care: Insurance and Managed Care,no,yes,no,no,,,,n/a,no,no,656,405,3477,136.2,-339,,809,Andrew Toy,U.S.,Franklin,TN,www.cloverhealth.com,Public,"Market value as of March 31, 2023.",405,6/5/2023
827,Columbia Sportswear,COLM,Apparel,Apparel,yes,no,no,yes,-14,no,yes,n/a,no,no,9450,5611,3464,10.8,311,-12,3052,Timothy P. Boyle,U.S.,Portland,OR,www.columbia.com,Public,"Market value as of March 31, 2023.",5611,6/5/2023
828,H&R Block,HRB,Financials,Diversified Financials,yes,no,no,no,-87,no,yes,n/a,no,no,36850,5368,3463,-3.5,554,-19,3269,Jeffrey J. Jones II,U.S.,Kansas City,MO,www.hrblock.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",5368,6/5/2023
829,Diebold Nixdorf,DBD,Technology,"Computers, Office Equipment",no,no,no,no,-125,no,yes,n/a,no,no,21000,96,3461,-11.4,-581,,3065,Octavio Marquez,U.S.,Hudson,OH,www.dieboldnixdorf.com,Public,"Market value as of March 31, 2023.",96,6/5/2023
830,Kaiser Aluminum,KALU,Materials,Metals,no,no,no,yes,76,yes,no,n/a,no,no,4000,1190,3428,30.7,-30,,2289,Keith A. Harvey,U.S.,Franklin,TN,www.kaiseraluminum.com,Public,"Market value as of March 31, 2023.",1190,6/5/2023
831,Fleetcor Technologies,FLT,Business Services,Financial Data Services,yes,no,no,yes,37,yes,no,n/a,no,no,9900,15496,3427,20.9,954,13.7,14089,Ronald F. Clarke,U.S.,Atlanta,GA,www.fleetcor.com,Public,"Market value as of March 31, 2023.",15496,6/5/2023
832,Incyte,INCY,Health Care,Pharmaceuticals,yes,no,no,yes,3,yes,no,n/a,no,no,2324,16114,3395,13.7,341,-64.1,5841,Hervé Hoppenot,U.S.,Wilmington,DE,www.incyte.com,Public,"Market value as of March 31, 2023.",16114,6/5/2023
833,OGE Energy,OGE,Energy,Utilities: Gas and Electric,yes,no,no,yes,-98,no,yes,n/a,no,no,2237,7543,3376,-7.6,666,-9.7,12545,Sean Trauschke,U.S.,Oklahoma City,OK,www.ogeenergy.com,Public,"Market value as of March 31, 2023.",7543,6/5/2023
834,Crane NXT,CXT,Industrials,Industrial Machinery,yes,no,no,no,-67,no,yes,n/a,no,no,11000,6405,3375,-1,401,-7.9,4390,Aaron W. Saak,U.S.,Stamford,CT,www.cranenxt.com,Public,"Spun off Crane Company and changed name from Crane Holdings, April 3, 2023. Market value as of March 31, 2023.",6405,6/5/2023
835,IDEXX Laboratories,IDXX,Health Care,Medical Products and Equipment,yes,no,no,yes,-37,no,yes,n/a,no,no,10780,41493,3367,4.7,679,-8.8,2747,Jonathan J. Mazelsky,U.S.,Westbrook,ME,www.idexx.com,Public,"Market value as of March 31, 2023.",41493,6/5/2023
836,Adams Resources & Energy,AE,Energy,Petroleum Refining,yes,no,no,yes,,,,n/a,no,no,882,97,3367,66.3,4,-70.7,384,Kevin J. Roycraft,U.S.,Houston,TX,www.adamsresources.com,Public,"Market value as of March 31, 2023.",97,6/5/2023
837,MRC Global,MRC,Energy,Wholesalers: Diversified,yes,no,no,yes,64,yes,no,n/a,no,no,2800,819,3363,26.1,75,,1895,Robert J. Saltiel Jr.,U.S.,Houston,TX,www.mrcglobal.com,Public,"Market value as of March 31, 2023.",819,6/5/2023
838,Popular,BPOP,Financials,Commercial Banks,yes,no,no,yes,50,yes,no,n/a,no,no,8813,4132,3363,21.6,1103,17.9,67638,Ignacio Alvarez,U.S.,Hato Rey,PR,www.popular.com,Public,"Market value as of March 31, 2023.",4132,6/5/2023
839,Euronet Worldwide,EEFT,Business Services,Financial Data Services,yes,no,no,yes,-8,no,yes,n/a,no,no,9500,5576,3359,12.1,231,226.6,5404,Michael J. Brown,U.S.,Leawood,KS,www.euronetworldwide.com,Public,"Market value as of March 31, 2023.",5576,6/5/2023
840,SM Energy,SM,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,65,yes,no,n/a,no,no,539,3394,3359,28.1,1112,2969.2,5716,Herbert S. Vogel,U.S.,Denver,CO,www.sm-energy.com,Public,"Market value as of March 31, 2023.",3394,6/5/2023
841,EnerSys,ENS,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,-3,no,yes,n/a,no,no,11400,3549,3357,12.7,144,0.4,3737,David M. Shaffer,U.S.,Reading,PA,www.enersys.com,Public,"Figures are for fiscal year ended March 31, 2022. Market value as of March 31, 2023.",3549,6/5/2023
842,Realty Income,O,Financials,Real estate,yes,no,no,yes,,,,n/a,no,no,393,41825,3344,60.7,869,141.9,49673,Sumit Roy,U.S.,San Diego,CA,www.realtyincome.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",41825,6/5/2023
843,Dream Finders Homes,DFH,Engineering & Construction,Homebuilders,yes,yes,no,no,,,,n/a,no,no,1170,1232,3342,73.7,262,116.6,2371,Patrick O. Zalupski,U.S.,Jacksonville,FL,www.dreamfindershomes.com,Public,"Market value as of March 31, 2023.",1232,6/5/2023
844,Central Garden & Pet,CENT,Household Products,Household and Personal Products,yes,no,no,no,-59,no,yes,n/a,no,no,6700,2134,3339,1.1,152,0.3,3282,Timothy P. Cofer,U.S.,Walnut Creek,CA,www.central.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of March 31, 2023.",2134,6/5/2023
845,Zions Bancorp.,ZION,Financials,Commercial Banks,yes,no,no,yes,-4,no,yes,n/a,no,no,9989,4433,3337,12.4,907,-19.7,89545,Harris H. Simmons,U.S.,Salt Lake City,UT,www.zionsbancorporation.com,Public,"Market value as of March 31, 2023.",4433,6/5/2023
846,Frontier Group Holdings,ULCC,Transportation,Airlines,no,no,no,yes,,,,n/a,no,no,6450,2146,3326,61.5,-37,,4499,Barry L. Biffle,U.S.,Denver,CO,www.flyfrontier.com,Public,"Market value as of March 31, 2023.",2146,6/5/2023
847,AptarGroup,ATR,Materials,"Packaging, Containers",yes,no,no,yes,-51,no,yes,n/a,no,no,13500,7728,3322,2.9,239,-2,4204,Stephan B. Tanda,U.S.,Crystal Lake,IL,www.aptar.com,Public,"Market value as of March 31, 2023.",7728,6/5/2023
848,Coherent,COHR,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-34,no,yes,n/a,no,no,23658,5292,3317,6.8,235,-21.1,7845,Vincent D. Mattera Jr.,U.S.,Saxonburg,PA,www.ii-vi.com,Public,"Changed name from II-VI, July 1, 2022. Figures are for fiscal year ended June 30, 2022. Market value as of March 31, 2023.",5292,6/5/2023
849,Designer Brands,DBI,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,-46,no,yes,n/a,no,no,14000,556,3315,3.7,163,5.3,2010,Douglas M. Howe,U.S.,Columbus,OH,www.designerbrands.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",556,6/5/2023
850,Cooper Cos.,COO,Health Care,Medical Products and Equipment,yes,no,no,yes,1,yes,no,n/a,no,no,14000,18465,3308,13.2,386,-86.9,11492,Albert G. White III,U.S.,San Ramon,CA,www.coopercos.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of March 31, 2023.",18465,6/5/2023
851,Donaldson,DCI,Industrials,Industrial Machinery,yes,no,no,yes,10,yes,no,n/a,no,no,14000,7924,3307,15.9,333,16,2600,Tod E. Carpenter,U.S.,Minneapolis,MN,www.donaldson.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",7924,6/5/2023
852,Cheesecake Factory,CAKE,"Hotels, Restaurants & Leisure",Food Services,yes,no,no,yes,-4,no,yes,n/a,no,yes,47500,1810,3303,12.8,43,-40.4,2775,David M. Overton,U.S.,Calabasas Hills,CA,www.thecheesecakefactory.com,Public,"Market value as of March 31, 2023.",1810,6/5/2023
853,Granite Construction,GVA,Engineering & Construction,Engineering & Construction,yes,no,no,yes,-104,no,yes,n/a,no,no,3800,1797,3301,-5.7,83,725.1,2168,Kyle T. Larkin,U.S.,Watsonville,CA,www.graniteconstruction.com,Public,"Market value as of March 31, 2023.",1797,6/5/2023
854,Werner Enterprises,WERN,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,38,yes,no,n/a,no,no,14300,2877,3290,20.3,241,-6.9,3097,Derek J. Leathers,U.S.,Omaha,NE,www.werner.com,Public,"Market value as of March 31, 2023.",2877,6/5/2023
855,Entegris,ENTG,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,104,yes,no,n/a,no,no,10000,12276,3282,42.8,209,-48.9,10139,Bertrand Loy,U.S.,Billerica,MA,www.entegris.com,Public,"Market value as of March 31, 2023.",12276,6/5/2023
856,TEGNA,TGNA,Media,Entertainment,yes,no,no,yes,-24,no,yes,n/a,no,no,6300,3780,3279,9.6,631,32.2,7329,David T. Lougee,U.S.,Tysons,VA,www.tegna.com,Public,"Market value as of March 31, 2023.",3780,6/5/2023
857,Annaly Capital Management,NLY,Financials,Diversified Financials,yes,no,no,no,10,yes,no,n/a,no,no,161,9438,3270,15.3,1725,-27.8,81851,David L. Finkelstein,U.S.,New York,NY,www.annaly.com,Public,"A real estate investment trust. Market value as of March 31, 2023.",9438,6/5/2023
858,Cracker Barrel Old Country Store,CBRL,"Hotels, Restaurants & Leisure",Food Services,yes,no,yes,yes,13,yes,no,n/a,no,no,73000,2516,3268,15.8,132,-48.2,2295,Sandra B. Cochran,U.S.,Lebanon,TN,www.crackerbarrel.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of March 31, 2023.",2516,6/5/2023
859,QuidelOrtho,QDEL,Health Care,Medical Products and Equipment,yes,no,no,yes,,,,n/a,no,no,7000,5925,3266,92.3,549,-22.1,8856,Douglas C. Bryant,U.S.,San Diego,CA,www.quidelortho.com,Public,"Acquired Ortho, reorganized as a holding company, and changed name from Quidel, May 27, 2022. Market value as of March 31, 2023.",5925,6/5/2023
860,Western Midstream Partners,WES,Energy,Pipelines,yes,no,no,yes,-2,no,yes,n/a,no,no,1217,10150,3252,13,1217,32.8,11272,Michael P. Ure,U.S.,The Woodlands,TX,www.westernmidstream.com,Public,"A partnership. Market value as of March 31, 2023.",10150,6/5/2023
861,Magellan Midstream Partners,MMP,Energy,Pipelines,yes,no,no,no,-2,no,yes,n/a,no,no,1655,11031,3252,13.3,1036,5.5,7708,Aaron L. Milford,U.S.,Tulsa,OK,www.magellanlp.com,Public,"Includes revenues from discontinued operations. A partnership. Market value as of March 31, 2023.",11031,6/5/2023
862,WeWork,WE,Financials,Real estate,no,no,no,no,52,yes,no,n/a,no,no,4300,568,3245,26.3,-2034,,17863,David Tolley,U.S.,New York,NY,www.wework.com,Public,"Market value as of March 31, 2023.",568,6/5/2023
863,NexTier Oilfield Solutions,NEX,Energy,"Oil and Gas Equipment, Services",yes,no,no,yes,,,,n/a,no,no,4302,1858,3245,128,315,,1727,Robert W. Drummond,U.S.,Houston,TX,www.nextierofs.com,Public,"Market value as of March 31, 2023.",1858,6/5/2023
864,Callon Petroleum,CPE,Energy,"Mining, Crude-Oil Production",yes,no,no,yes,,,,n/a,no,no,354,2061,3231,58,1210,231.3,6146,Joseph C. Gatto Jr.,U.S.,Houston,TX,www.callon.com,Public,"Market value as of March 31, 2023.",2061,6/5/2023
865,G-III Apparel Group,GIII,Apparel,Apparel,no,no,no,yes,20,yes,no,n/a,no,no,4150,723,3227,16.6,-133,-166.3,2712,Morris Goldfarb,U.S.,New York,NY,www.giii.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of March 31, 2023.",723,6/5/2023
866,Quad/Graphics,QUAD,Media,"Publishing, Printing",yes,no,no,yes,-24,no,yes,n/a,no,no,15300,229,3217,8.7,9,-75.4,1702,J. Joel Quadracci,U.S.,Sussex,WI,www.quad.com,Public,"Market value as of March 31, 2023.",229,6/5/2023
