Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
83,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),yes,no,no,yes,-3,no,yes,no,yes,yes,24791,,51450,8.6,988,-38.9,264511,Kirt A. Walker,U.S.,Columbus,OH,www.nationwide.com,Private,,,8/2/2023
84,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-18,no,yes,no,yes,no,54250,29180,51412,-3.4,-1311,-182,97957,Thomas J. Wilson,U.S.,Northbrook,IL,www.allstate.com,Public,"Market value as of July 17, 2023.",26919,8/2/2023
85,Delta Air Lines,DAL,Transportation,Airlines,yes,no,no,yes,28,yes,no,no,yes,no,95000,22392,50582,69.2,1318,370.7,72288,Edward H. Bastian,U.S.,Atlanta,GA,www.delta.com,Public,"Market value as of July 17, 2023.",30112,8/2/2023
86,Liberty Mutual Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-8,no,yes,no,yes,no,50000,,49956,3.6,414,-86.5,160316,Timothy M. Sweeney,U.S.,Boston,MA,www.libertymutual.com,Private,,,8/2/2023
87,TJX,TJX,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-12,no,yes,no,yes,no,329000,90315,49936,2.9,3498,6.6,28349,Ernie L. Herrman,U.S.,Framingham,MA,www.tjx.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",97800,8/2/2023
88,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,-9,no,yes,no,yes,yes,55063,83743,49611,4,722,-78.5,75465,Susan Patricia Griffith,U.S.,Mayfield Village,OH,www.progressive.com,Public,"Market value as of July 17, 2023.",71377,8/2/2023
89,American Airlines Group,AAL,Transportation,Airlines,yes,no,no,yes,25,yes,no,no,yes,no,129700,9629,48971,63.9,127,,64716,Robert D. Isom,U.S.,Fort Worth,TX,www.aa.com,Public,"Market value as of July 17, 2023.",11869,8/2/2023
90,CHS,,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,5,yes,no,no,yes,no,10014,,47792,24.3,1679,203.1,18825,Jay D. Debertin,U.S.,Inver Grove Heights,MN,www.chsinc.com,Private,"A cooperative. Figures are for fiscal year ended Aug. 31, 2022.",,8/2/2023
91,Performance Food Group,PFGC,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,21,yes,no,no,yes,no,34825,9422,47194,61.6,113,176.4,12378,George L. Holm,U.S.,Richmond,VA,www.pfgc.com,Public,"Figures are for fiscal year ended June 30, 2022. Excise taxes have been deducted. Market value as of July 17, 2023.",9522,8/2/2023
92,PBF Energy,PBF,Energy,Petroleum Refining,yes,no,no,yes,38,yes,no,no,no,no,3616,5589,46830,71.8,2877,1145.4,13549,Thomas J. Nimbley,U.S.,Parsippany,NJ,www.pbfenergy.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",5020,8/2/2023
93,Nike,NKE,Apparel,Apparel,yes,no,no,yes,-10,no,yes,no,yes,no,79100,190161,46710,4.9,6046,5.6,40321,John J. Donahoe II,U.S.,Beaverton,OR,www.nike.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of July 17, 2023.",167086,8/2/2023
94,Best Buy,BBY,Retailing,Specialty Retailers: Other,yes,no,yes,no,-26,no,yes,no,yes,no,71100,17066,46298,-10.6,1419,-42.2,15803,Corie S. Barry,U.S.,Richfield,MN,www.investors.bestbuy.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",17952,8/2/2023
95,Bristol-Myers Squibb,BMY,Health Care,Pharmaceuticals,yes,no,no,yes,-13,no,yes,no,yes,no,34300,145780,46159,-0.5,6327,-9.5,96820,Giovanni Caforio,U.S.,New York,NY,www.bms.com,Public,"Market value as of July 17, 2023.",129937,8/2/2023
96,United Airlines Holdings,UAL,Transportation,Airlines,yes,no,no,yes,50,yes,no,no,no,no,92795,14474,44955,82.5,737,,67358,J. Scott Kirby,U.S.,Chicago,IL,www.united.com,Public,"Market value as of July 17, 2023.",17424,8/2/2023
97,Thermo Fisher Scientific,TMO,Technology,"Scientific, Photographic and Control Equipment",yes,no,no,yes,-5,no,yes,no,yes,no,130000,222150,44915,14.5,6950,-10,97154,Marc N. Casper,U.S.,Waltham,MA,www.thermofisher.com,Public,"Market value as of July 17, 2023.",202604,8/2/2023
98,Qualcomm,QCOM,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,9,yes,no,no,yes,no,51000,142252,44200,31.7,12936,43,49014,Cristiano R. Amon,U.S.,San Diego,CA,www.qualcomm.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",137468,8/2/2023
99,Abbott Laboratories,ABT,Health Care,Medical Products and Equipment,yes,no,no,yes,-13,no,yes,no,yes,no,115000,175984,43653,1.3,6933,-2,74438,Robert B. Ford,U.S.,Abbott Park,IL,www.abbott.com,Public,"Market value as of July 17, 2023.",186067,8/2/2023
100,Coca-Cola,KO,"Food, Beverages & Tobacco",Beverages,yes,no,no,yes,-7,no,yes,no,yes,no,82500,268361,43004,11.3,9542,-2.3,92763,James R. Quincey,U.S.,Atlanta,GA,www.coca-colacompany.com,Public,"Market value as of July 17, 2023.",262978,8/2/2023
101,Oracle,ORCL,Technology,Computer Software,yes,no,yes,yes,-10,no,yes,no,yes,no,143000,250866,42440,4.8,6717,-51.1,109297,Safra A. Catz,U.S.,Austin,TX,www.oracle.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of July 17, 2023.",322698,8/2/2023
102,Nucor,NUE,Materials,Metals,yes,no,no,yes,-4,no,yes,no,yes,no,31400,38917,41513,13.8,7607,11.4,32479,Leon J. Topalian,U.S.,Charlotte,NC,www.nucor.com,Public,"Market value as of July 17, 2023.",42062,8/2/2023
103,TIAA,,Financials,"Insurance: Life, Health (Mutual)",yes,no,yes,yes,-13,no,yes,no,yes,no,16070,,40911,0.9,494,-87.8,634457,Thasunda Brown Duckett,U.S.,New York,NY,www.tiaa.org,Private,,,8/2/2023
104,Massachusetts Mutual Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",yes,no,no,yes,-4,no,yes,no,yes,no,10662,,40281,12.2,1485,365,381336,Roger W. Crandall,U.S.,Springfield,MA,www.massmutual.com,Private,,,8/2/2023
105,General Dynamics,GD,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,-11,no,yes,no,yes,no,106500,62692,39407,2.4,3390,4.1,51585,Phebe N. Novakovic,U.S.,Reston,VA,www.gd.com,Public,"Market value as of July 17, 2023.",59358,8/2/2023
106,Capital One Financial,COF,Financials,Commercial Banks,yes,yes,no,yes,2,yes,no,no,yes,yes,55943,36776,38373,19.8,7360,-40.6,455249,Richard D. Fairbank,U.S.,McLean,VA,www.capitalone.com,Public,"Market value as of July 17, 2023.",43308,8/2/2023
107,HF Sinclair,DINO,Energy,Petroleum Refining,yes,no,no,yes,90,yes,no,no,no,no,5223,9492,38205,107.8,2923,423.5,18126,Tim Go,U.S.,Dallas,TX,www.hfsinclair.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",8858,8/2/2023
108,Dollar General,DG,Retailing,Specialty Retailers: Other,yes,no,no,yes,-2,no,yes,no,yes,no,170000,46114,37845,10.6,2416,0.7,29083,Jeffery C. Owen,U.S.,Goodlettsville,TN,www.dollargeneral.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",35342,8/2/2023
109,Arrow Electronics,ARW,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,yes,-5,no,yes,no,yes,no,22300,7278,37124,7.7,1427,28.8,21763,Sean J. Kerins,U.S.,Centennial,CO,www.arrow.com,Public,"Market value as of July 17, 2023.",8096,8/2/2023
110,Occidental Petroleum,OXY,Energy,"Mining, Crude-Oil Production",yes,no,yes,yes,25,yes,no,no,no,no,11973,56069,37095,38.6,13304,473,72609,Vicki A. Hollub,U.S.,Houston,TX,www.oxy.com,Public,"Market value as of July 17, 2023.",52872,8/2/2023
